from,to,weight,type
s001,s073,1,colla
s001,s072,1,colla
s001,s054,1,colla
s004,s046,1,colla
s004,s080,1,colla
s004,s076,1,colla
s004,s050,1,colla
s004,s079,2,colla
s004,s078,2,colla
s007,s294,1,colla
s008,s294,1,colla
s016,s139,2,colla
s017,s145,1,colla
s020,s023,1,colla
s028,s029,1,colla
s028,s030,1,colla
s029,s030,1,colla
s032,s079,2,colla
s032,s076,1,colla
s032,s329,1,colla
s034,s187,2,colla
s034,s182,1,colla
s034,s184,1,colla
s034,s188,1,colla
s034,s189,1,colla
s034,s190,1,colla
s034,s186,1,colla
s034,s183,1,colla
s034,s185,1,colla
s035,s081,1,colla
s035,s348,1,colla
s036,s037,1,colla
s037,s269,1,colla
s047,s326,1,colla
s050,s004,1,colla
s051,s055,1,colla
s051,s123,1,colla
s053,s173,1,colla
s053,s174,1,colla
s053,s175,1,colla
s054,s001,1,colla
s055,s123,1,colla
s059,s060,2,colla
s060,s061,2,colla
s060,s062,1,colla
s060,s268,1,colla
s061,s062,1,colla
s063,s324,1,colla
s065,s143,1,colla
s067,s219,1,colla
s067,s358,1,colla
s067,s220,1,colla
s067,s221,1,colla
s067,s222,1,colla
s067,s223,1,colla
s067,s224,1,colla
s067,s226,1,colla
s067,s225,2,colla
s067,s357,1,colla
s067,s311,1,colla
s067,s309,1,colla
s067,s291,1,colla
s072,s073,1,colla
s073,s074,3,colla
s073,s317,2,colla
s074,s316,1,colla
s076,s079,2,colla
s076,s080,1,colla
s079,s080,1,colla
s079,s321,1,colla
s079,s329,1,colla
s079,s154,1,colla
s079,s108,3,colla
s083,s084,1,colla
s085,s086,1,colla
s094,s266,1,colla
s094,s267,1,colla
s094,s264,1,colla
s095,s267,2,colla
s104,s105,1,colla
s109,s402,5,colla
s109,s401,5,colla
s109,s400,5,colla
s109,s409,1,colla
s108,s154,1,colla
s108,s321,1,colla
s116,s333,2,colla
s116,s334,1,colla
s116,s337,1,colla
s130,s289,1,colla
s130,s287,1,colla
s130,s219,1,colla
s139,s140,1,colla
s139,s141,1,colla
s144,s145,1,colla
s148,s149,1,colla
s156,s320,1,colla
s165,s249,1,colla
s165,s166,1,colla
s166,s249,1,colla
s168,s169,2,colla
s173,s174,1,colla
s173,s175,1,colla
s174,s175,1,colla
s174,s176,1,colla
s177,s210,1,colla
s178,s179,2,colla
s178,s210,3,colla
s178,s308,2,colla
s178,s314,1,colla
s178,s312,1,colla
s179,s308,1,colla
s179,s210,2,colla
s180,s210,3,colla
s180,s181,3,colla
s181,s210,3,colla
s182,s187,1,colla
s182,s183,1,colla
s183,s187,1,colla
s184,s188,1,colla
s184,s189,1,colla
s184,s190,1,colla
s185,s187,5,colla
s185,s362,3,colla
s185,s186,1,colla
s186,s187,1,colla
s187,s362,3,colla
s188,s189,1,colla
s188,s190,1,colla
s189,s190,1,colla
s203,s205,1,colla
s203,s206,1,colla
s203,s207,1,colla
s203,s208,2,colla
s203,s209,1,colla
s205,s206,1,colla
s205,s207,1,colla
s206,s207,1,colla
s207,s299,1,colla
s208,s209,1,colla
s210,s246,1,colla
s210,s308,2,colla
s210,s312,1,colla
s210,s314,1,colla
s220,s221,1,colla
s220,s222,1,colla
s220,s223,1,colla
s220,s224,1,colla
s220,s225,1,colla
s220,s226,1,colla
s221,s222,1,colla
s221,s223,1,colla
s221,s224,1,colla
s221,s225,1,colla
s221,s226,1,colla
s222,s223,1,colla
s222,s224,1,colla
s222,s225,1,colla
s222,s226,1,colla
s223,s224,1,colla
s223,s225,1,colla
s223,s226,1,colla
s224,s225,1,colla
s224,s226,1,colla
s225,s226,1,colla
s225,s309,1,colla
s225,s311,1,colla
s225,s357,1,colla
s227,s397,1,colla
s228,s239,1,colla
s233,s244,1,colla
s241,s242,2,colla
s241,s243,2,colla
s242,s243,2,colla
s250,s251,2,colla
s250,s252,2,colla
s251,s252,3,colla
s251,s253,4,colla
s251,s312,1,colla
s252,s254,1,colla
s255,s257,1,colla
s255,s260,1,colla
s257,s260,1,colla
s258,s259,2,colla
s263,s265,1,colla
s264,s266,1,colla
s264,s267,1,colla
s266,s267,1,colla
s266,s090,1,colla
s273,s274,1,colla
s282,s283,2,colla
s282,s285,1,colla
s282,s286,1,colla
s283,s288,1,colla
s284,s285,1,colla
s284,s286,1,colla
s284,s287,1,colla
s285,s286,1,colla
s285,s287,1,colla
s286,s287,1,colla
s289,s290,1,colla
s291,s309,1,colla
s291,s311,1,colla
s291,s357,1,colla
s308,s312,1,colla
s308,s314,1,colla
s309,s357,1,colla
s309,s311,1,colla
s311,s357,1,colla
s312,s178,1,colla
s312,s314,1,colla
s315,s316,1,colla
s327,s328,1,colla
s331,s338,1,colla
s332,s335,1,colla
s334,s336,1,colla
s334,s337,1,colla
s336,s337,1,colla
s341,s342,1,colla
s341,s379,1,colla
s342,s379,1,colla
s344,s379,1,colla
s354,s355,1,colla
s354,s356,1,colla
s355,s356,1,colla
s384,s393,1,colla
s385,s395,3,colla
s394,s396,1,colla
s399,s403,1,colla
s399,s404,1,colla
s399,s407,1,colla
s400,s402,12,colla
s400,s401,9,colla
s400,s409,5,colla
s401,s409,1,colla
s401,s402,15,colla
s402,s409,4,colla
s403,s404,1,colla
s403,s407,1,colla
s404,s407,1,colla
s405,s406,1,colla
s408,s409,1,colla
s408,s400,2,colla
s408,s402,2,colla
s001,s073,2,lead
s001,s074,2,lead
s001,s317,1,lead
s001,s055,1,lead
s001,s051,1,lead
s001,s081,1,lead
s002,s318,1,lead
s003,s037,3,lead
s003,s269,2,lead
s003,s036,3,lead
s003,s043,1,lead
s003,s084,1,lead
s003,s083,1,lead
s004,s046,5,lead
s004,s080,1,lead
s004,s076,1,lead
s004,s035,1,lead
s004,s082,1,lead
s004,s050,1,lead
s004,s079,1,lead
s005,s004,2,lead
s005,s076,1,lead
s005,s079,1,lead
s005,s340,1,lead
s005,s339,1,lead
s005,s080,1,lead
s010,s085,1,lead
s010,s086,1,lead
s012,s344,1,lead
s012,s379,3,lead
s012,s343,1,lead
s012,s024,1,lead
s012,s027,1,lead
s012,s341,1,lead
s012,s342,1,lead
s015,s386,1,lead
s015,s347,1,lead
s016,s139,1,lead
s017,s145,1,lead
s017,s144,1,lead
s018,s345,2,lead
s018,s346,2,lead
s022,s020,1,lead
s022,s023,1,lead
s024,s012,1,lead
s027,s028,1,lead
s027,s029,1,lead
s027,s030,1,lead
s033,s138,1,lead
s039,s038,1,lead
s047,s005,2,lead
s049,s050,1,lead
s051,s001,1,lead
s051,s072,1,lead
s051,s073,1,lead
s052,s053,2,lead
s052,s173,1,lead
s052,s174,1,lead
s052,s175,1,lead
s059,s060,2,lead
s059,s061,1,lead
s059,s062,1,lead
s064,s296,1,lead
s070,s071,1,lead
s076,s079,10,lead
s076,s004,1,lead
s076,s108,3,lead
s076,s153,1,lead
s076,s032,1,lead
s076,s320,1,lead
s076,s328,1,lead
s077,s078,2,lead
s077,s004,2,lead
s089,s315,1,lead
s089,s316,1,lead
s094,s093,1,lead
s097,s198,1,lead
s101,s104,1,lead
s101,s105,1,lead
s102,s112,1,lead
s103,s106,5,lead
s106,s103,4,lead
s108,s076,3,lead
s398,s111,1,lead
s115,s119,2,lead
s116,s332,1,lead
s116,s335,1,lead
s116,s330,1,lead
s116,s331,1,lead
s116,s338,1,lead
s117,s115,1,lead
s117,s118,1,lead
s120,s115,1,lead
s121,s063,2,lead
s121,s324,1,lead
s134,s325,1,lead
s137,s131,1,lead
s140,s139,3,lead
s140,s141,1,lead
s140,s016,2,lead
s141,s139,1,lead
s141,s140,1,lead
s142,s016,1,lead
s146,s017,2,lead
s147,s148,2,lead
s147,s149,1,lead
s152,s352,1,lead
s157,s156,1,lead
s157,s320,5,lead
s161,s160,1,lead
s167,s195,1,lead
s176,s174,1,lead
s191,s192,2,lead
s213,s261,2,lead
s213,s260,1,lead
s213,s259,2,lead
s213,s257,1,lead
s213,s255,1,lead
s213,s258,2,lead
s218,s353,1,lead
s219,s067,6,lead
s219,s358,1,lead
s219,s355,1,lead
s219,s356,1,lead
s219,s357,1,lead
s219,s309,1,lead
s219,s311,1,lead
s219,s220,1,lead
s219,s221,1,lead
s219,s222,1,lead
s219,s223,1,lead
s219,s224,1,lead
s219,s225,1,lead
s219,s226,1,lead
s219,s291,1,lead
s227,s228,1,lead
s230,s231,2,lead
s231,s313,1,lead
s232,s233,2,lead
s232,s244,1,lead
s240,s241,2,lead
s240,s242,2,lead
s240,s243,2,lead
s250,s251,1,lead
s250,s252,1,lead
s251,s250,3,lead
s251,s252,1,lead
s251,s254,1,lead
s256,s213,1,lead
s262,s213,1,lead
s282,s285,1,lead
s282,s286,1,lead
s282,s284,1,lead
s282,s287,1,lead
s288,s289,1,lead
s288,s290,1,lead
s291,s288,1,lead
s294,s305,2,lead
s294,s307,2,lead
s294,s306,1,lead
s297,s298,1,lead
s299,s207,1,lead
s302,s294,1,lead
s303,s304,1,lead
s306,s294,1,lead
s318,s384,2,lead
s318,s002,1,lead
s322,s004,1,lead
s322,s050,1,lead
s323,s380,1,lead
s323,s063,1,lead
s333,s116,1,lead
s333,s337,1,lead
s333,s334,1,lead
s333,s336,1,lead
s349,s321,1,lead
s349,s079,1,lead
s389,s350,1,lead
s390,s391,1,lead
s393,s394,1,lead
s393,s396,1,lead
s399,s405,1,lead
s402,s400,8,lead
s402,s401,2,lead
s402,s409,2,lead
s409,s402,1,lead
s409,s400,1,lead
s003,s411,1,lead
s003,s412,1,lead
s411,s412,1,colla
s037,s411,1,colla
s037,s412,1,colla
s003,s007,1,lead
s007,s037,1,colla
s007,s411,1,colla
s007,s412,1,colla
